param_set,scale,key,s_norm_sq,failures,trials,failure_rate,seed
ML-KEM-768,5,0,764,1,150,0.0067,1234
ML-KEM-768,5,1,728,0,150,0.0,1234
ML-KEM-768,5,2,738,1,150,0.0067,1234
ML-KEM-768,5,3,757,3,150,0.02,1234
ML-KEM-768,5,4,791,1,150,0.0067,1234
ML-KEM-768,5,5,780,1,150,0.0067,1234
ML-KEM-768,5,6,747,3,150,0.02,1234
ML-KEM-768,5,7,804,2,150,0.0133,1234
ML-KEM-768,5,8,862,1,150,0.0067,1234
ML-KEM-768,5,9,802,4,150,0.0267,1234
ML-KEM-768,5,10,795,2,150,0.0133,1234
ML-KEM-768,5,11,796,2,150,0.0133,1234
ML-KEM-768,5,12,849,3,150,0.02,1234
ML-KEM-768,5,13,808,2,150,0.0133,1234
ML-KEM-768,5,14,749,3,150,0.02,1234
ML-KEM-768,5,15,785,2,150,0.0133,1234
ML-KEM-768,5,16,801,0,150,0.0,1234
ML-KEM-768,5,17,795,3,150,0.02,1234
ML-KEM-768,5,18,750,1,150,0.0067,1234
ML-KEM-768,5,19,757,1,150,0.0067,1234
ML-KEM-768,5,20,720,1,150,0.0067,1234
ML-KEM-768,5,21,741,7,150,0.0467,1234
ML-KEM-768,5,22,844,4,150,0.0267,1234
ML-KEM-768,5,23,775,3,150,0.02,1234
ML-KEM-768,5,24,751,3,150,0.02,1234
ML-KEM-768,5,25,801,0,150,0.0,1234
ML-KEM-768,5,26,734,2,150,0.0133,1234
ML-KEM-768,5,27,775,4,150,0.0267,1234
ML-KEM-768,5,28,782,2,150,0.0133,1234
ML-KEM-768,5,29,821,0,150,0.0,1234
ML-KEM-768,5,30,768,3,150,0.02,1234
ML-KEM-768,5,31,823,2,150,0.0133,1234
ML-KEM-768,5,32,822,2,150,0.0133,1234
ML-KEM-768,5,33,689,2,150,0.0133,1234
ML-KEM-768,5,34,781,4,150,0.0267,1234
ML-KEM-768,5,35,793,3,150,0.02,1234
ML-KEM-768,5,36,754,0,150,0.0,1234
ML-KEM-768,5,37,832,2,150,0.0133,1234
ML-KEM-768,5,38,785,1,150,0.0067,1234
ML-KEM-768,5,39,738,2,150,0.0133,1234
ML-KEM-768,5,40,800,3,150,0.02,1234
ML-KEM-768,5,41,783,1,150,0.0067,1234
ML-KEM-768,5,42,800,2,150,0.0133,1234
ML-KEM-768,5,43,797,2,150,0.0133,1234
ML-KEM-768,5,44,781,2,150,0.0133,1234
ML-KEM-768,5,45,798,2,150,0.0133,1234
ML-KEM-768,5,46,737,1,150,0.0067,1234
ML-KEM-768,5,47,756,0,150,0.0,1234
ML-KEM-768,5,48,741,2,150,0.0133,1234
ML-KEM-768,5,49,705,0,150,0.0,1234
ML-KEM-768,5,50,767,2,150,0.0133,1234
ML-KEM-768,5,51,755,1,150,0.0067,1234
ML-KEM-768,5,52,779,1,150,0.0067,1234
ML-KEM-768,5,53,752,0,150,0.0,1234
ML-KEM-768,5,54,762,4,150,0.0267,1234
ML-KEM-768,5,55,686,3,150,0.02,1234
ML-KEM-768,5,56,796,3,150,0.02,1234
ML-KEM-768,5,57,807,2,150,0.0133,1234
ML-KEM-768,5,58,743,1,150,0.0067,1234
ML-KEM-768,5,59,711,0,150,0.0,1234
ML-KEM-768,6,0,827,28,150,0.1867,1234
ML-KEM-768,6,1,759,19,150,0.1267,1234
ML-KEM-768,6,2,734,17,150,0.1133,1234
ML-KEM-768,6,3,809,25,150,0.1667,1234
ML-KEM-768,6,4,712,16,150,0.1067,1234
ML-KEM-768,6,5,743,24,150,0.16,1234
ML-KEM-768,6,6,787,32,150,0.2133,1234
ML-KEM-768,6,7,773,29,150,0.1933,1234
ML-KEM-768,6,8,758,28,150,0.1867,1234
ML-KEM-768,6,9,805,32,150,0.2133,1234
ML-KEM-768,6,10,720,21,150,0.14,1234
ML-KEM-768,6,11,802,18,150,0.12,1234
ML-KEM-768,6,12,725,33,150,0.22,1234
ML-KEM-768,6,13,756,23,150,0.1533,1234
ML-KEM-768,6,14,755,26,150,0.1733,1234
ML-KEM-768,6,15,796,25,150,0.1667,1234
ML-KEM-768,6,16,793,17,150,0.1133,1234
ML-KEM-768,6,17,705,28,150,0.1867,1234
ML-KEM-768,6,18,792,22,150,0.1467,1234
ML-KEM-768,6,19,725,22,150,0.1467,1234
ML-KEM-768,6,20,883,19,150,0.1267,1234
ML-KEM-768,6,21,778,16,150,0.1067,1234
ML-KEM-768,6,22,814,29,150,0.1933,1234
ML-KEM-768,6,23,825,30,150,0.2,1234
ML-KEM-768,6,24,735,20,150,0.1333,1234
ML-KEM-768,6,25,779,23,150,0.1533,1234
ML-KEM-768,6,26,766,28,150,0.1867,1234
ML-KEM-768,6,27,763,33,150,0.22,1234
ML-KEM-768,6,28,765,23,150,0.1533,1234
