oracle,param_set,bits,trial,guesses,seconds,seed
mine,ML-KEM-768,8,0,226,1.4941,1234
mine,ML-KEM-768,8,1,60,0.3858,1234
mine,ML-KEM-768,8,2,4,0.0252,1234
mine,ML-KEM-768,8,3,47,0.3067,1234
mine,ML-KEM-768,8,4,18,0.1191,1234
mine,ML-KEM-768,10,0,172,1.2305,1234
mine,ML-KEM-768,10,1,202,1.4395,1234
mine,ML-KEM-768,10,2,727,5.2366,1234
mine,ML-KEM-768,10,3,485,3.2715,1234
mine,ML-KEM-768,10,4,36,0.2503,1234
mine,ML-KEM-768,12,0,253,1.8399,1234
mine,ML-KEM-768,12,1,130,0.8878,1234
mine,ML-KEM-768,12,2,2836,20.2311,1234
mine,ML-KEM-768,12,3,3967,28.5918,1234
mine,ML-KEM-768,12,4,3798,27.6779,1234
mine,ML-KEM-768,14,0,4868,35.0079,1234
mine,ML-KEM-768,14,1,2992,20.6573,1234
mine,ML-KEM-768,14,2,6000,41.8458,1234
mine,ML-KEM-768,14,3,3750,26.6001,1234
mine,ML-KEM-768,14,4,480,3.5858,1234
mine,ML-KEM-768,16,0,63800,453.9824,1234
mine,ML-KEM-768,16,1,32746,226.2042,1234
mine,ML-KEM-768,16,2,8463,55.7453,1234
mine,ML-KEM-768,16,3,61067,403.5654,1234
mine,ML-KEM-768,16,4,8988,62.9174,1234
